,u,g,r,i,z,redshift,class
56488,0.48692229021958056,0.5375046673527912,0.5939804929571402,0.5236359268858656,0.6274630328534536,0.18423756345782677,2
46246,0.5326846348615296,0.5250710290541527,0.5928245312988137,0.5208804931745565,0.5684647025879342,0.10804825018630211,2
24252,0.5839498080344601,0.588008741454243,0.56249357588106,0.44992333348638847,0.4825436550873693,0.08573707112136199,0
29536,0.7201966843484279,0.6000628315715855,0.6610834849383207,0.5122922028283269,0.5232175433948631,0.11250833252605742,0
44996,0.563131048842423,0.5362385590626251,0.553866142374172,0.4529403282975544,0.5404176344151935,0.03390446587744732,2
15930,0.6827831422858496,0.5692052327421668,0.5644637234117424,0.41962723617648484,0.42060016264902145,0.0014270730960584807,1
46836,0.5132310251565745,0.5417829951042549,0.6137194370167988,0.5378206543905854,0.595332289705027,0.2657253039197948,2
32852,0.3714459751500562,0.39367201730095286,0.4354815924625022,0.392890222365309,0.46625295812280837,0.02734541653554366,0
10498,0.24377512031125764,0.2234060397914333,0.25674500842793774,0.23442653963883486,0.2609772283783345,0.0014014050937427216,1
19796,0.4832482295287249,0.49792930642663674,0.5297727216340022,0.4472230349141725,0.48595261834425857,0.07948492020021582,0
3851,0.6091876304787295,0.6380337603605756,0.6231494107025948,0.4928008284561892,0.5115188312091294,0.0014130927549529722,1
28514,0.6686225852828256,0.5143702343248023,0.4895884968903467,0.41182054156203673,0.44916464468107914,0.04482197698030061,0
16746,0.5029901088630975,0.472831268325875,0.5118403790622584,0.4505492275853717,0.5039614530215276,0.0013814728047150872,1
30982,0.5365404706690242,0.5472217641740634,0.6075674728693318,0.5198069017461389,0.5936586607113999,0.11397931710904674,0
22426,0.6443551481834422,0.5447914238221687,0.5230602451975439,0.4318769408395989,0.4666626406507134,0.07133765586408955,0
